"seurat_clusters","Keratinocyte_score1","Fibroblast_score1","Endothelial_score1","Macrophage_score1","T_cell_score1","B_cell_score1","Neutrophil_score1","Mast_cell_score1","Pericyte_SMC_score1","Melanocyte_score1","DC_score1","Lymphatic_Endo_score1","NK_cell_score1","n_cells"
"0",-0.381549537090755,2.60422970330161,-0.201908865318894,-0.0781813280121466,-0.0951034079436168,-0.0174559107143461,-0.159514307663396,-0.045678267828613,-0.545433489795774,-0.0221819682679546,-0.0397132435410974,-0.0265435924290929,-0.0408611272681138,8348
"1",-0.373955978262223,2.03710153728911,-0.183144815961467,-0.0793606233372693,-0.0929321514857512,-0.0179306294781631,-0.154543200447545,-0.0387710618228569,-0.543320378760577,-0.0208745475312348,-0.0364513997963937,-0.0302441836480943,-0.0388832655238784,8255
"2",-0.380504455054848,0.885786059416756,-0.198467970541689,-0.10677898248333,-0.0953281083879352,-0.0159557190502302,-0.104431972052475,-0.0379825161755242,1.08014106195928,-0.0167593539775051,-0.0350711957111398,-0.022734835993242,-0.0408487189905632,7345
"3",-0.35549551697053,0.802416686688232,-0.178984487163776,-0.0912212162218255,-0.0823444710924331,-0.0127963526718179,-0.1097826617723,-0.025749633461709,0.70172062431518,-0.0149861022115472,-0.0296182880370487,-0.0242469218640801,-0.0340474374194225,6745
"4",-0.416885636681268,0.176583843410974,-0.189672467692637,-0.110450489850765,-0.0900527398109304,-0.0154289874288947,-0.140964278908757,-0.0360520142661539,1.46771365191664,-0.0167127479680464,-0.0323759346422818,-0.0245790985387537,-0.0396945446933129,5973
"5",-0.219948554049882,-0.0896259849395257,-0.126773410603348,-0.0811262196253549,0.999451551158499,-0.00214434911424123,-0.0369940649315469,-0.0206236717974877,-0.644510708354111,-0.0213576262312863,-0.0255714619128071,-0.0240277792060169,0.488728625946731,5782
"6",2.16314996004166,-0.607971096360625,-0.167426858018593,-0.129494978649259,-0.0920767078822369,-0.0228731440348703,0.552106827305996,-0.0531636669980816,-0.758922465562314,-0.015512077355573,-0.0462912940763283,-0.0419832511368018,-0.0478024589159359,4738
"7",-0.465306750114473,-0.0758133716420769,1.34913986317399,-0.105272687728177,-0.106811905886812,-0.0204244695080045,-0.130687528421948,-0.0452961889437982,-0.907851562113302,-0.0203065353295742,-0.0443614356288011,-0.00983149537494875,-0.0433907668236196,4042
"8",-0.440085646162928,-0.133738936235715,1.39522354287747,-0.150966647983277,-0.120080881691414,-0.0228937014773954,-0.14476184880389,-0.0435870998334995,-0.910447655482302,-0.0255500139695751,-0.0487061122637485,0.0063179708310252,-0.0410167620938131,3619
"9",-0.325423436502331,-0.0444221966457493,-0.0955818462806938,0.535053299083628,-0.00156695880349124,0.0278621962047866,0.465535923953302,-0.0359379310008027,-0.7173889403237,-0.0257203307965311,0.62005468011282,-0.0156247329339968,-0.0161880614638646,3288
